jobs;mode;heure_debut;heure_fin;type_periodicite;cyclique;cycle;periodicite;mettre_application_en_erreur;ne_pas_deplanifier;attendre_avant_deplanification;heure_deplanification;bloquer_la_date;rattrapage_type;duree_max;retenu;demande;script;parametres;modjobs;liens_amon;liens_aval
ALIM_FACTU/ALIM_FACT_GRC/OU_22;simu;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT_GRC/groupage_tarif[vaob:0],ALIM_FACTU/ALIM_FACT_GRC/Warning_22[obli];ALIM_FACTU/ALIM_FACT_GRC/declaratif[obli]

ALIM_FACTU/ALIM_FACT_GRC/OU_20;simu;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT_GRC/regle_simple[vaob:0],ALIM_FACTU/ALIM_FACT_GRC/Warning_20[obli];ALIM_FACTU/ALIM_FACT_GRC/remboursement[obli]

ALIM_FACTU/ALIM_FACT_GRC/Warning_20;simu;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT_GRC/regle_simple[vaer:1-60];ALIM_FACTU/ALIM_FACT_GRC/OU_20[obli]

ALIM_FACTU/ALIM_FACT_GRC/OU_21;simu;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT_GRC/remboursement[vaob:0],ALIM_FACTU/ALIM_FACT_GRC/Warning_21[obli];ALIM_FACTU/ALIM_FACT_GRC/groupage_tarif[obli]

ALIM_FACTU/ALIM_FACT_GRC/Warning_21;simu;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT_GRC/remboursement[vaer:1-60];ALIM_FACTU/ALIM_FACT_GRC/OU_21[obli]

ALIM_FACTU/ALIM_FACT_GRC/HALT1000;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;ALIM_FACTU/ALIM_FACT_GRC/OU_1000[obli];

ALIM_FACTU/ALIM_FACT_GRC/OU_1000;simu;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT_GRC/declaratif[vaer:61-255],ALIM_FACTU/ALIM_FACT_GRC/regle_simple[vaer:61-255],ALIM_FACTU/ALIM_FACT_GRC/groupage_tarif[vaer:61-255],ALIM_FACTU/ALIM_FACT_GRC/remboursement[vaer:61-255],ALIM_FACTU/ALIM_FACT_GRC/compteur[vaer:61-255];ALIM_FACTU/ALIM_FACT_GRC/HALT1000[obli]

ALIM_FACTU/DF/fictif;exec;20:00:00;30:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/fictif.sh;#NOM?;;;ALIM_FACTU/DF/HALT9[vaer:61-255],ALIM_FACTU/DF/Warning9[vaer:1-60]

ALIM_FACTU/DF/Warning9;exec;20:00:00;30:00:00;periodique;non;00:00:00;journaliere;non;oui;non;;non;manual;non;non;non;;.;;ALIM_FACTU/DF/fictif[vaer:1-60];

ALIM_FACTU/DF/HALT9;exec;20:00:00;30:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;ALIM_FACTU/DF/fictif[vaer:61-255];

